Date;IHSG
02/14/2022;6791.315918
02/21/2022;6896.751953
02/28/2022;6964.696777
03/07/2022;6905.324219
03/14/2022;6949.206055
03/21/2022;6945.893066
03/28/2022;6996.317871
04/04/2022;7082.24707
04/11/2022;7212.00293
04/18/2022;7245.503906
04/25/2022;7204.161133
05/02/2022;7179.539063
05/09/2022;7154.916992
05/16/2022;6603.893066
05/23/2022;6930.938965
05/30/2022;7052.172852
06/06/2022;7163.173828
06/13/2022;6992.22998
06/20/2022;6937.007813
06/27/2022;7043.018066
07/04/2022;6794.368164
07/11/2022;6740.019043
07/18/2022;6652.064941
07/25/2022;6887.041992
08/01/2022;6951.123047
08/08/2022;7084.654785
08/15/2022;7129.276855
08/22/2022;7172.434082
08/29/2022;7135.087891
09/05/2022;7177.13916
09/12/2022;7242.695801
09/19/2022;7168.950195
09/26/2022;7178.50293
10/03/2022;7040.797852
10/10/2022;7026.663086
10/17/2022;6814.529785
10/24/2022;7017.811035
10/31/2022;7056.040039
11/07/2022;7045.526855
11/14/2022;7089.206055
11/21/2022;7082.181152
11/28/2022;7053.109863
12/05/2022;7019.63916
12/12/2022;6715.118164
12/19/2022;6812.153809
12/26/2022;6800.712891
01/02/2023;6850.740234
01/09/2023;6684.558105
01/16/2023;6641.830078
01/23/2023;6874.931152
01/30/2023;6899.021973
02/06/2023;6911.731934
02/13/2023;6880.329102
02/20/2023;6895.855957
02/27/2023;6856.576172
03/06/2023;6813.918945
03/13/2023;6765.018066
03/20/2023;6678.236816
03/27/2023;6762.253906
04/03/2023;6805.276855
04/10/2023;6792.765137
04/17/2023;6818.714844
04/24/2023;6821.807129
